fecha_hecho,latitud,longitud,sexo,edad,estado_civil,medio_transporte,modalidad,conducta_especial,arma_medio,nombre_barrio,codigo_barrio,codigo_comuna,lugar,sede_receptora,bien,categoria_bien,color,fecha,lat,lon,id_hecho,coord_imputada,edad_imputada,comuna,anio,mes,hora,dia,anio_mes,franja
06/09/2018 9:30,624.414.078,-755.687.802,Mujer,50.0,Casado(a),Autobus,Atraco,,Arma cortopunzante,Barrio Colón,#1013,10,Paradero de bus,Candelaria,Llaveros,Otros elementos,,2018-09-06 09:30:00,6.24414078,-75.5687802,2018-09-06 09:30:00|624.414.078|-755.687.802|Mujer|50.0|Barrio Colón|Paradero de bus|Atraco,False,False,La Candelaria,2018,9,9,Jueves,2018-09-01,Mañana (6-11)
06/09/2018 9:30,624.414.078,-755.687.802,Mujer,50.0,Casado(a),Autobus,Atraco,,Arma cortopunzante,Barrio Colón,#1013,10,Paradero de bus,Candelaria,Accesorios prendas de vestir,Prendas de vestir y accesorios,,2018-09-06 09:30:00,6.24414078,-75.5687802,2018-09-06 09:30:00|624.414.078|-755.687.802|Mujer|50.0|Barrio Colón|Paradero de bus|Atraco,False,False,La Candelaria,2018,9,9,Jueves,2018-09-01,Mañana (6-11)
09/09/2018 7:30,627.984.871,-7.557.137.086,Mujer,47.0,Divorciado(a),Autobus,Descuido,,No,Terminal de Transporte,#Inst_4,5,Terminal de transporte,Castilla,Peso,"Dinero, joyas, piedras preciosas y título valor",,2018-09-09 07:30:00,6.27984871,-75.57137086,2018-09-09 07:30:00|627.984.871|-7.557.137.086|Mujer|47.0|Terminal de Transporte|Terminal de transporte|Descuido,False,False,Castilla,2018,9,7,Domingo,2018-09-01,Mañana (6-11)
09/09/2018 5:00,627.759.246,-7.559.972.889,Hombre,47.0,Casado(a),Taxi,Atraco,,Arma cortopunzante,Robledo,#0717,7,Vía pública,Castilla,Celular,Tecnología,,2018-09-09 05:00:00,6.27759246,-75.59972889,2018-09-09 05:00:00|627.759.246|-7.559.972.889|Hombre|47.0|Robledo|Vía pública|Atraco,False,False,Robledo,2018,9,5,Domingo,2018-09-01,Madrugada (0-5)
14/09/2018 7:30,62.535.965,-7.557.053.348,Hombre,35.0,Soltero(a),Autobus,Cosquilleo,,No,Estación Villa,#1005,10,Bus de servicio público,Candelaria,Celular,Tecnología,,2018-09-14 07:30:00,6.2535965,-75.57053348,2018-09-14 07:30:00|62.535.965|-7.557.053.348|Hombre|35.0|Estación Villa|Bus de servicio público|Cosquilleo,False,False,La Candelaria,2018,9,7,Viernes,2018-09-01,Mañana (6-11)
15/09/2018 3:00,625.027.392,-7.558.086.895,Mujer,23.0,Soltero(a),Taxi,Atraco,,Arma cortopunzante,Naranjal,#1103,11,Puente peatonal,Laureles,Accesorios prendas de vestir,Prendas de vestir y accesorios,,2018-09-15 03:00:00,6.25027392,-75.58086895,2018-09-15 03:00:00|625.027.392|-7.558.086.895|Mujer|23.0|Naranjal|Puente peatonal|Atraco,False,False,Laureles-Estadio,2018,9,3,Sábado,2018-09-01,Madrugada (0-5)
17/09/2018 8:00,623.204.749,-7.559.707.154,Hombre,53.0,Casado(a),Autobus,Cosquilleo,,No,Belén,#1603,16,Bus de servicio público,Belén,Celular,Tecnología,Blanco,2018-09-17 08:00:00,6.23204749,-75.59707154,2018-09-17 08:00:00|623.204.749|-7.559.707.154|Hombre|53.0|Belén|Bus de servicio público|Cosquilleo,False,False,Belén,2018,9,8,Lunes,2018-09-01,Mañana (6-11)
21/09/2018 8:00,622.474.058,-7.556.537.539,Mujer,19.0,Soltero(a),Autobus,Descuido,,No,San Diego,#1020,10,Vía pública,Candelaria,Peso,"Dinero, joyas, piedras preciosas y título valor",,2018-09-21 08:00:00,6.22474058,-75.56537539,2018-09-21 08:00:00|622.474.058|-7.556.537.539|Mujer|19.0|San Diego|Vía pública|Descuido,False,False,La Candelaria,2018,9,8,Viernes,2018-09-01,Mañana (6-11)
24/09/2018 10:00,624.909.625,-7.555.685.525,Hombre,58.0,Soltero(a),Taxi,Descuido,,No,Boston,#1016,10,Edificio,Candelaria,Celular,Tecnología,Negro,2018-09-24 10:00:00,6.24909625,-75.55685525,2018-09-24 10:00:00|624.909.625|-7.555.685.525|Hombre|58.0|Boston|Edificio|Descuido,False,False,La Candelaria,2018,9,10,Lunes,2018-09-01,Mañana (6-11)
26/09/2018 18:30,619.957.137,-7.557.969.707,Mujer,34.0,Divorciado(a),Autobus,Cosquilleo,No,No,La Aguacatala,#1422,14,Institución de educación superior,Poblado,Peso,"Dinero, joyas, piedras preciosas y título valor",,2018-09-26 18:30:00,6.19957137,-75.57969707,2018-09-26 18:30:00|619.957.137|-7.557.969.707|Mujer|34.0|La Aguacatala|Institución de educación superior|Cosquilleo,False,False,El Poblado,2018,9,18,Miércoles,2018-09-01,Noche (18-23)
